date;activité;description;image
01/11/2024;Week-End;Un cadeau parfait pour démarrer décembre 😍;assets/images/christmasObject1.svg
02/11/2024;Décoration de bureau;Transformons notre espace en un véritable royaume de Noël ! 🎄;assets/images/christmasObject2.svg
03/11/2024;Anecdote "Pire Cadeau"; Partageons nos pires expériences de cadeaux de Noël 🎁;assets/images/christmasObject3.svg
04/11/2024;Goûter - Marché de Noël;Une délicieuse pause gustative au cœur de la Défense 🍪;assets/images/christmasObject4.svg
05/11/2024;BforBurger Quiz;Un Burger Quiz pour tester vos connaissances sur Noël ! 🍔;assets/images/christmasObject5.svg
06/11/2024;Pré Week-End;Description plus ou moins longue de l'activité;assets/images/christmasObject6.svg
07/11/2024;Week-End;Savourez la magie de Noël ✨;assets/images/christmasObject7.svg
08/11/2024;Week-End;Profitez bien de ce cadeau 🎁;assets/images/christmasObject8.svg
09/11/2024;Concours "Meilleure Recette de Noël";Amenez vos plus belles créations et dégustons les ensemble 🍴;assets/images/christmasObject9.svg
10/11/2024;A qui appartient l'anecdote ?;Description plus ou moins longue de l'activité;assets/images/christmasObject10.svg
11/11/2024;Nom de l'activité;Description plus ou moins longue de l'activité;assets/images/christmasObject11.svg
12/11/2024;TOI Awards / Repas de Noël / Secret Santa;Le Main Event de ce calendrier ! Etes-vous prêt ? 🎉;assets/images/christmasObject12.svg
13/11/2024;Nom de l'activité;Description plus ou moins longue de l'activité;assets/images/christmasObject13.svg
14/11/2024;Week-End;Un cadeau bien mérité 👏 ;assets/images/christmasObject14.svg
15/11/2024;Week-End;Appréciez cette pause enchantée 🤩;assets/images/christmasObject15.svg
16/11/2024;Plus Beau Pull de Noël / Déjeuner - Marché de Noël;Mettons nos plus beau chandails et allons éblouir l'esplanade à la pause déj;assets/images/christmasObject16.svg
17/11/2024;Concours "Sapin de Noël";Description plus ou moins longue de l'activité;assets/images/christmasObject17.svg
18/11/2024;Atelier "Carte de Voeux";Description plus ou moins longue de l'activité;assets/images/christmasObject18.svg
19/11/2024;Nom de l'activité;Description plus ou moins longue de l'activité;assets/images/christmasObject19.svg
20/11/2024;Nom de l'activité;Description plus ou moins longue de l'activité;assets/images/christmasObject20.svg
21/11/2024;Week-End;Dernière ligne droite pour faire les cadeaux 🛒;assets/images/christmasObject21.svg
22/11/2024;Week-End;Plus que quelques jours à attendre... ⌛;assets/images/christmasObject22.svg
23/11/2024;Nom de l'activité;Description plus ou moins longue de l'activité;assets/images/christmasObject23.svg
24/11/2024;Réveillon de Noël;Description plus ou moins longue de l'activité;assets/images/christmasObject24.svg
25/11/2024;Joyeux Noël;Description plus ou moins longue de l'activité;assets/images/christmasObject25.svg

